Date,City,PM2.5,PM10,NO,NO2,SO2,CO,O3,AQI,AQI_Bucket,Temp
2024-01-29,London,79.4,398.6,9.6,113.1,47.4,4.69,76.1,161,Unhealthy,10.377632409282414
2024-01-30,London,45.3,311,118.4,143.6,90.8,2.85,107.1,339,Hazardous,11.93516466927349
2024-01-31,London,241.1,139.6,71,133.8,95.3,3.33,28.6,210,Very Unhealthy,8.14292692327639
2024-02-01,London,226.6,328.6,16.6,154.6,60.7,1.33,145.3,389,Hazardous,12.232648672603766
2024-02-02,London,175.8,396.7,136.5,63.3,66.3,2.52,73.3,258,Very Unhealthy,9.080658150671779
2024-02-03,London,200.9,96.3,32.4,197,94.6,4.39,151.9,396,Hazardous,11.384758353133005
2024-02-04,London,15.9,265.5,113.2,193.1,74.7,1.64,177.2,124,Unhealthy,7.890133683893681
2024-02-05,London,124.7,186.3,67.6,15.3,95.3,4.22,104.7,83,Moderate,11.150294842875802
2024-02-06,London,192,376.5,102.2,151.9,69.8,3.2,69.4,338,Hazardous,13.568669805425273
2024-02-07,London,61.9,395.4,32.2,79.7,29.5,1.26,173.8,149,Unhealthy,10.928275726507332
2024-02-08,London,86.4,193.4,132.9,77.3,73,2.63,134,173,Unhealthy,8.054940549017873
2024-02-09,London,65.6,107.6,12.1,13.7,51.5,4.07,105.4,283,Very Unhealthy,14.617055888638294
2024-02-10,London,44.3,284.3,36.9,154.2,91.4,2.18,39.5,343,Hazardous,9.842453971687917
2024-02-11,London,109.5,231.5,43,39.9,93.8,1.65,119.1,293,Very Unhealthy,9.655339484119075
2024-02-12,London,109.3,242.2,116.2,31.3,50.3,1.62,169.5,68,Moderate,10.51342735401693
2024-02-13,London,98.5,184.8,61,145.6,46.8,1.94,123.4,223,Very Unhealthy,9.87939886571057
2024-02-14,London,46.6,181.9,45.4,94.6,61.6,1.21,125.6,202,Very Unhealthy,12.389050878294702
2024-02-15,London,43.3,246.8,16.3,15,72.1,2.19,31.6,366,Hazardous,12.78290478517714
2024-02-16,London,65.9,191.8,77.5,184.8,97.7,1.23,50.3,272,Very Unhealthy,11.514231615202025
2024-02-17,London,121.8,383.5,70.5,159.1,49.3,4.8,104.5,144,Unhealthy,13.998820342246164
2024-02-18,London,73.8,340.9,148.1,90.8,33.3,4.68,110.5,159,Unhealthy,13.361308043196333
2024-02-19,London,215.9,104.7,25.6,34.5,83.5,2.57,73.6,212,Very Unhealthy,10.024776193733576
2024-02-20,London,21,179.7,125.9,165.6,90.7,3.2,69.4,161,Unhealthy,14.013383730136889
2024-02-21,London,116.1,179.6,9.3,146.2,63.3,2.44,108.4,307,Hazardous,10.2049656599102
2024-02-22,London,201.7,27.9,117.9,88.3,30.8,2,128.1,142,Unhealthy,12.741897903900426
2024-02-23,London,39.3,164.6,38.2,43.2,46.1,3.51,93.9,334,Hazardous,12.466661928377858
2024-02-24,London,144.6,180.5,24.4,12,95.9,0.76,45.6,239,Very Unhealthy,11.517664033735366
2024-02-25,London,59.6,92.7,32.6,74.8,53.4,0.88,68.1,387,Hazardous,15.467161616102482
2024-02-26,London,40.6,288,36.3,46,29,3.09,125.3,364,Hazardous,13.363312679332985
2024-02-27,London,190.8,25.1,140.5,116.8,44,0.99,30.5,215,Very Unhealthy,14.443318250538697
2024-02-28,London,224.8,297.9,148.4,121.7,24.7,1.89,170.4,103,Unhealthy,13.407780361408355
2024-02-29,London,99.9,184.4,50,63.5,52.8,0.7,38.3,137,Unhealthy,11.819028718055824
2024-03-01,London,169.6,297.9,24.9,185.9,85.7,2.6,162.4,211,Very Unhealthy,14.836953181054383
2024-03-02,London,32.8,25.3,100.8,143.8,7.1,3.22,12.9,254,Very Unhealthy,12.165210204788268
2024-03-03,London,102.2,37.2,89.8,62.5,84.1,2.38,115.4,160,Unhealthy,15.539776997702567
2024-03-04,London,75.9,179,54.9,145.9,29.3,3.78,113.6,125,Unhealthy,18.753954686921666
2024-03-05,London,205.5,264.7,123,125.7,72.4,4.02,117.2,372,Hazardous,14.682649316010249
2024-03-06,London,117.6,103.5,46.1,87.6,68,2.84,84.4,343,Hazardous,15.419633108596436
2024-03-07,London,204.4,336.7,127.6,41.8,62.7,2.63,122.8,391,Hazardous,15.015707186708863
2024-03-08,London,205,284,24.9,14.6,63.6,3.94,135.7,98,Moderate,16.711612944960525
2024-03-09,London,200.6,361.7,130,39.4,61.6,2.43,148.6,292,Very Unhealthy,11.777051937672098
2024-03-10,London,115.6,177.4,14.7,121.5,69.3,3.7,113.6,395,Hazardous,12.425198643146679
2024-03-11,London,191.1,176.2,68.1,51.5,98.1,4.96,120.5,234,Very Unhealthy,14.546400247051949
2024-03-12,London,161,115,103.6,18.4,84.6,3.15,53.1,336,Hazardous,14.33649478388971
2024-03-13,London,180.4,162,34.8,183.8,12.2,4.38,133.7,370,Hazardous,12.208829750196406
2024-03-14,London,10.1,108.1,141.7,175.3,55.2,4.49,57.6,170,Unhealthy,11.05475373641491
2024-03-15,London,124.1,374,60,167,20.4,2.98,135.5,163,Unhealthy,13.66803285538237
2024-03-16,London,62.8,201,95.8,125.8,46,3.14,26.4,118,Unhealthy,17.94775013242913
2024-03-17,London,101.2,38.1,31.6,147.5,14.5,1.55,110.3,217,Very Unhealthy,19.18896647929722
2024-03-18,London,157.1,313.9,100.6,161.4,15,2.93,47.4,336,Hazardous,16.41141524433145
2024-03-19,London,94.4,145.8,111.5,174.9,84,4.46,139.9,349,Hazardous,11.537828947772303
2024-03-20,London,36.7,230.1,76.9,143.1,95.6,2.47,178.8,369,Hazardous,16.312294570836745
2024-03-21,London,68.5,277,131,73.8,43.3,1.29,98.9,240,Very Unhealthy,13.764370936150966
2024-03-22,London,170.3,125.4,125.6,104.6,40,1.38,137.4,54,Moderate,15.12949943203843
2024-03-23,London,110.2,40.1,147.6,157.5,47.6,2.66,153.5,161,Unhealthy,16.254344656021864
2024-03-24,London,199.2,181.8,101.7,89.6,46.2,1.98,28.4,390,Hazardous,18.24208765981112
2024-03-25,London,34.7,251.8,98.2,120.8,96.5,4.11,66.8,251,Very Unhealthy,15.210948274994063
2024-03-26,London,114.4,390.9,11.5,67.1,75.4,0.82,12.3,154,Unhealthy,13.552347424999885
2024-03-27,London,246.4,388.5,32.7,37.9,31.7,2.03,108.1,165,Unhealthy,16.503134648179543
2024-03-28,London,224.3,53.6,9.7,62.4,51.6,2.28,56,98,Moderate,16.623881854259256
2024-03-29,London,222.8,209.4,127.8,48.6,98,2.11,97.2,389,Hazardous,16.800187457227498
2024-03-30,London,52,170.4,66.5,52.8,58.9,3.6,126.7,239,Very Unhealthy,17.285267189594894
2024-03-31,London,41.4,168.3,123.5,108.8,12.5,3.52,34,173,Unhealthy,15.577414601001063
2024-04-01,London,166.7,141,27,184.9,10.6,1.34,114.1,172,Unhealthy,13.112638901262637
2024-04-02,London,92.4,279.4,63.8,120.5,91.1,3,160.4,339,Hazardous,15.261899329118549
2024-04-03,London,167.6,128.2,109.8,59.7,83.3,2.39,55.4,366,Hazardous,11.46452323861342
2024-04-04,London,86.9,168.2,13.6,81.1,64.5,2.31,30.8,225,Very Unhealthy,17.28078088742603
2024-04-05,London,55,396.3,52.9,117.1,25.3,3.1,52.1,311,Hazardous,15.977923470939519
2024-04-06,London,197.8,321,117.6,40.3,38.1,2.38,163.7,368,Hazardous,16.35644478903592
2024-04-07,London,32.5,138.7,126.9,137.5,18.4,0.74,113.8,137,Unhealthy,15.254745005719554
2024-04-08,London,122,330.5,131.2,13.5,46,3.2,34.3,338,Hazardous,10.128692661989962
2024-04-09,London,132.8,103.9,143.2,12.4,78.5,1.79,130.2,319,Hazardous,13.667402676223245
2024-04-10,London,154,210.4,60.7,136.3,91.4,3.56,37.7,140,Unhealthy,16.74812864261226
2024-04-11,London,89.9,83.4,142.8,49.1,83.5,2.14,179.7,189,Unhealthy,14.281876799485579
2024-04-12,London,127.3,65.5,107.1,82.9,95.8,4.56,146.9,264,Very Unhealthy,16.470208567503533
2024-04-13,London,239.1,361.1,66.2,40.3,40.8,4.34,81.6,219,Very Unhealthy,12.884857528083758
2024-04-14,London,125.9,55.6,61.7,144.6,9.4,2.02,89.5,205,Very Unhealthy,15.23742360355293
2024-04-15,London,223.7,348.7,35.5,126.8,32.5,4.74,76.3,241,Very Unhealthy,13.583324406994686
2024-04-16,London,229.5,125.1,114.1,21.6,100,4.58,15.5,292,Very Unhealthy,13.336394760551187
2024-04-17,London,156.1,30.4,69.5,87.2,47.6,0.62,122.3,214,Very Unhealthy,14.215507081109674
2024-04-18,London,108.6,319.2,70.7,30,99.5,0.82,168.7,219,Very Unhealthy,17.966332403057017
2024-04-19,London,45.3,156.3,17.1,86.5,72.2,3.67,53.9,100,Moderate,14.828046119127803
2024-04-20,London,234.5,29.5,57.9,96.6,33.5,1.67,11.1,288,Very Unhealthy,14.8724883549699
2024-04-21,London,82.3,303.5,134.8,128.7,91.3,1.32,149.8,385,Hazardous,17.552495643934982
2024-04-22,London,24.6,31.3,83.9,25,50.1,0.9,51.5,209,Very Unhealthy,13.731849498534014
2024-04-23,London,237.5,184.9,9.5,75,82.5,3.93,26.7,134,Unhealthy,15.278357731111454
2024-04-24,London,182.9,117.5,61.3,14.5,29.1,3.3,20.9,341,Hazardous,12.729654556085158
2024-04-25,London,44.2,209.2,21.4,74.9,96,2.13,104.5,115,Unhealthy,15.802757451681819
2024-04-26,London,141.8,268.3,45.2,158.8,49,3.48,58.5,268,Very Unhealthy,11.339595606503371
2024-04-27,London,239,51.8,109.3,150.8,17.4,3.78,14.5,78,Moderate,13.84674077594203
2024-04-28,London,150.5,88.6,59.5,165.1,78.2,0.89,101,83,Moderate,16.136009185291567
2024-04-29,London,107.1,59.7,97,20.6,18.5,1.01,131.5,287,Very Unhealthy,16.477001084787034
2024-04-30,London,165.5,328.7,77,38.8,56.4,2.84,72.8,222,Very Unhealthy,13.54412064287116
2024-05-01,London,86.8,258.5,122.1,134.1,67.5,4.75,79.9,114,Unhealthy,8.851934007261866
2024-05-02,London,83.9,259.6,89.4,84.6,59.7,1.31,57.8,179,Unhealthy,16.83371944469404
2024-05-03,London,62.7,168.5,29.9,44.9,53,3.05,169.4,163,Unhealthy,12.207407164572436
2024-05-04,London,98.7,184.3,140.9,34.4,93.4,3.6,83.9,354,Hazardous,14.795609095012157
2024-05-05,London,246.2,152.5,12.8,34.5,26.5,0.5,34.3,244,Very Unhealthy,9.870256303426618
2024-05-06,London,47,321.6,17.6,128.6,6.3,0.77,113,94,Moderate,12.27307256274801
2024-05-07,London,31.9,357,127,105.4,31.4,3.35,29.3,173,Unhealthy,16.32692092801528
2024-05-08,London,44.1,267.4,66,102.8,34.6,4.13,43.3,57,Moderate,13.647701035567056
2024-05-09,London,175.6,245.3,109,175.8,90.5,4.97,164.4,194,Unhealthy,13.543607181884587
2024-05-10,London,158.6,144.6,111.7,46.5,58,2.67,13.2,288,Very Unhealthy,14.54480891321551
2024-05-11,London,223.9,48.8,148.2,154.3,17.8,4.78,103.1,243,Very Unhealthy,9.909418861815645
2024-05-12,London,171.5,244.7,144.3,51.7,25.6,1.18,40.1,339,Hazardous,12.590222021953945
2024-05-13,London,186.9,87.8,25.6,39.8,13,4.81,16.7,322,Hazardous,13.361969366272737
2024-05-14,London,135.1,301.7,101.4,37.4,86.3,2.6,14.8,286,Very Unhealthy,14.561254696315839
2024-05-15,London,168.4,131.7,9.8,178.4,10.6,1.23,139.1,392,Hazardous,10.557971580285397
2024-05-16,London,207.2,262.9,76.7,137.1,36.2,2.28,135.4,369,Hazardous,12.524315964090496
2024-05-17,London,198.7,67.4,119.7,96.8,52.5,4.17,44.6,107,Unhealthy,13.26532029098547
2024-05-18,London,245.2,117,60,146,36.7,2.11,174.8,336,Hazardous,19.239175546529182
2024-05-19,London,115.5,331.8,142.5,144.4,88.3,4.92,121.6,351,Hazardous,14.860374318286203
2024-05-20,London,84.8,325.4,100.8,132.9,88.9,0.8,31.4,112,Unhealthy,6.810390303449365
2024-05-21,London,108.3,37.4,67.8,184,90.6,3.54,155,329,Hazardous,11.455001958094389
2024-05-22,London,12.5,352.7,126.6,47.9,80.8,1.76,42,338,Hazardous,11.669792293484175
2024-05-23,London,54.1,68.6,121.7,92.6,90.6,1.78,93.1,51,Moderate,12.789170435438582
2024-05-24,London,212.3,251.4,66.9,17,46.8,2.44,42.4,147,Unhealthy,9.61778441996103
2024-05-25,London,65.5,198.4,52.8,39.9,42.8,4.02,133.4,217,Very Unhealthy,12.870755582257527
2024-05-26,London,67.4,231.8,86.9,143.4,40.3,0.81,143.4,353,Hazardous,9.352231971906585
2024-05-27,London,28.4,297.5,129.9,150.6,55.2,4.32,170.8,297,Very Unhealthy,10.388926530424373
2024-05-28,London,69,198.5,90,91.6,12,3.28,97.1,344,Hazardous,11.660136514043938
2024-05-29,London,185.7,395.7,98.5,76.7,73.1,1.55,57.7,383,Hazardous,9.091210514900403
2024-05-30,London,213.4,394.2,116.2,102,28.1,4.62,126.9,218,Very Unhealthy,10.33035615119851
2024-05-31,London,129.4,169.4,105.5,14.5,85.2,4,42,78,Moderate,13.168398531952747
2024-06-01,London,103.1,251.4,130.7,171.3,99.6,4.02,142.6,350,Hazardous,8.935419583675676
2024-06-02,London,69.1,151.3,18.7,134,15,1.57,134.3,196,Unhealthy,7.394541064944654
2024-06-03,London,36.7,186.1,93.4,45.3,51.1,1.46,111.6,188,Unhealthy,11.00643821704045
2024-06-04,London,103.6,107.1,39.9,114,70,4.53,107.3,56,Moderate,7.836106521138383
2024-06-05,London,147.3,22.3,73.1,176,82.9,1.65,124.4,345,Hazardous,8.71320334865501
2024-06-06,London,62.1,29.1,46.2,53.6,77.7,3.6,109.7,290,Very Unhealthy,10.10915811980429
2024-06-07,London,116.7,42.3,138.2,74.5,45.5,1.94,30.8,54,Moderate,9.858564774367942
2024-06-08,London,62.3,310.5,63,157.5,93.9,3.59,123.3,361,Hazardous,11.135978823167742
2024-06-09,London,130.6,198.2,87,55.2,74.3,3.77,90.8,101,Unhealthy,7.2583446404693355
2024-06-10,London,94.9,343.3,16.7,24.5,37,3.13,109.3,239,Very Unhealthy,7.818899986774839
2024-06-11,London,166,241.1,141.7,89.5,50.5,2.68,55.7,246,Very Unhealthy,6.9780462345163
2024-06-12,London,99.9,91,111.7,47.9,96.7,0.79,129.4,316,Hazardous,7.805838448807013
2024-06-13,London,95.3,251.4,73.9,133.8,91.8,1.28,26.3,157,Unhealthy,11.945826432201162
2024-06-14,London,138.1,359.5,31.4,128.1,26.7,4.27,28.7,112,Unhealthy,7.680202869798242
2024-06-15,London,187.7,321.8,110.9,89.4,34.2,0.79,30.6,51,Moderate,7.581034959443553
2024-06-16,London,63.1,211.6,94.1,38.3,37.9,4.83,123.6,352,Hazardous,8.493273591411599
2024-06-17,London,109.1,180.8,13.9,44.9,9.2,3.7,150.4,121,Unhealthy,4.869549935759025
2024-06-18,London,73.8,268.7,12.7,90.8,96.5,2.37,175.9,219,Very Unhealthy,9.042411208558287
2024-06-19,London,161.2,357.3,71,83.9,82.5,1.17,26.4,381,Hazardous,6.8500008075553955
2024-06-20,London,54.1,359,31.2,20.9,69.1,2.89,94.4,252,Very Unhealthy,5.387773513098719
2024-06-21,London,217.3,87.8,76.2,11,43.6,3.61,68.3,90,Moderate,7.376701773115812
2024-06-22,London,189.2,117.9,147.4,177.8,30.3,2.66,67.5,234,Very Unhealthy,6.091657334882427
2024-06-23,London,170.4,63.1,37.5,68.1,93.2,2.88,152.3,248,Very Unhealthy,5.984252234869972
2024-06-24,London,158.3,322.9,108.3,192.9,39.8,2.37,129.5,288,Very Unhealthy,5.886840793783648
2024-06-25,London,99.3,61.6,26.8,138.4,57.2,3.94,116.9,159,Unhealthy,9.03977792661128
2024-06-26,London,137.2,335,81.2,172.3,54.5,1.69,163.1,289,Very Unhealthy,4.6680450624711245
2024-06-27,London,219.9,313,125.1,92.2,93.1,4.38,136.3,228,Very Unhealthy,7.510652128148865
2024-06-28,London,149.6,378.6,23.4,185.9,52.7,4.52,92.1,329,Hazardous,5.759062545002812
2024-06-29,London,211.5,197.4,123.9,153.3,65.5,0.85,117.1,200,Unhealthy,4.7027335806133586
2024-06-30,London,85,377.1,40.7,62.6,27.3,3.66,129.4,327,Hazardous,3.7972307304391633
2024-07-01,London,180,318.4,19.1,140.4,39.5,4.31,84.9,206,Very Unhealthy,4.17971801163859
2024-07-02,London,73.6,352.4,28.7,185.1,89.9,3.51,65.1,379,Hazardous,4.189988949935809
2024-07-03,London,152.6,169.9,101.3,150.7,77.8,3.89,12.4,208,Very Unhealthy,6.751020676974099
2024-07-04,London,125.5,57.9,103.2,137.8,80.6,4,53.5,319,Hazardous,2.835121384069865
2024-07-05,London,73.6,125.2,24.3,151.4,35.7,2.21,56.1,55,Moderate,7.51278267519413
2024-07-06,London,145.5,294.4,147,31.5,13.8,2.09,64,221,Very Unhealthy,3.7130620497259934
2024-07-07,London,229.2,155.4,26.3,17.8,95.6,2.71,24.3,225,Very Unhealthy,2.5761261085692038
2024-07-08,London,226.4,165.4,141.6,80.9,47.8,0.76,164.5,60,Moderate,2.2966991643963452
2024-07-09,London,75.8,32.1,106.6,105.3,58,3.59,70,243,Very Unhealthy,3.918219003514763
2024-07-10,London,87.2,218.1,87.4,190.6,21.2,4.81,169.6,240,Very Unhealthy,6.867999465060063
2024-07-11,London,246.6,66,40.7,190.2,7,3.85,176.6,281,Very Unhealthy,2.7538124644348025
2024-07-12,London,158.8,356.4,54.4,132.5,25.1,1.24,31.9,72,Moderate,2.84184000569775
2024-07-13,London,235,48.4,126.8,69.9,35.2,0.69,104.3,370,Hazardous,3.274935655360302
2024-07-14,London,122,318,138.6,111.1,60.3,2.79,107.5,350,Hazardous,2.8237666938393593
2024-07-15,London,107.6,344.6,79.7,138.2,9.9,4.67,50.1,230,Very Unhealthy,1.0464493339779974
2024-07-16,London,168.2,34.1,133.8,172.9,28.7,4.63,124.1,100,Moderate,4.339927470982619
2024-07-17,London,46.6,124.6,107.1,115.8,6.4,0.86,148.2,262,Very Unhealthy,-0.2633552171221427
2024-07-18,London,147.5,264,66.4,27.9,25.8,2.31,23.3,158,Unhealthy,0.07271108353467315
2024-07-19,London,67.3,318.3,48.5,145.1,54.7,0.58,127,77,Moderate,1.038066924882098
2024-07-20,London,241,172,144.7,168.7,36.3,4.85,111.9,340,Hazardous,1.149033296755158
2024-07-21,London,154.3,375.4,23.1,84.6,75.4,4.24,89.6,239,Very Unhealthy,3.65207556837884
2024-07-22,London,133.6,168.4,103.6,47,95.8,0.53,67.2,110,Unhealthy,0.13674478893468534
2024-07-23,London,106.6,181.1,123.9,59.1,26.2,0.79,79.7,71,Moderate,0.8665367034451017
2024-07-24,London,221.3,128.8,36.4,17.1,97.8,2.74,16.1,300,Very Unhealthy,0.3993258228785971
2024-07-25,London,97.4,252.5,91.1,110.4,13.7,2.35,85.2,392,Hazardous,4.114208073406314
2024-07-26,London,79.2,232.3,28.4,122.2,75,4.3,140.1,88,Moderate,3.647639521878695
2024-07-27,London,51,35.2,63.8,120.6,31,0.9,90.2,176,Unhealthy,-1.5219871435777148
2024-07-28,London,51.3,303.2,39.6,180.4,31.3,3.65,60.9,78,Moderate,1.3139617416064162
2024-07-29,London,125.7,98.5,81.5,91,10.7,0.66,134.5,273,Very Unhealthy,-2.3059980245034755
2024-07-30,London,70.7,269.5,102.3,55.1,26.7,3.04,21.3,315,Hazardous,-1.520873931633815
2024-07-31,London,61.9,218.5,136.6,107.4,77.1,1.98,103.6,285,Very Unhealthy,-1.175640619200567
2024-08-01,London,171.9,260.7,53.3,22.6,37.7,4.2,177.2,294,Very Unhealthy,-1.8552275280224
2024-08-02,London,21.4,254.7,40.2,135.3,73.1,3.84,55.1,83,Moderate,0.14988610234087485
2024-08-03,London,178.2,128.3,49.9,149.6,24.3,3.61,144.1,237,Very Unhealthy,-1.0787757182955175
2024-08-04,London,94.5,105,37.9,51.6,10.3,3.31,145.7,288,Very Unhealthy,0.016511632143473953
2024-08-05,London,108.1,224.8,22.8,46.1,74.1,3.02,159.5,116,Unhealthy,1.7215524353585274
2024-08-06,London,207,398.6,43.8,175.8,30.3,1.67,51.2,100,Moderate,1.4643533265006314
2024-08-07,London,230.5,145,138.9,65.5,36.4,0.66,105.1,272,Very Unhealthy,-5.158817922442021
2024-08-08,London,77.8,142.9,13.2,197.4,86,2.72,163.8,287,Very Unhealthy,-1.661669420236863
2024-08-09,London,240.7,33.4,77.7,148.5,5.5,4.25,11.4,355,Hazardous,-0.33483506575419564
2024-08-10,London,184.8,219.7,120.1,186.7,46.2,2.57,37.8,144,Unhealthy,0.9091246923947609
2024-08-11,London,174.7,246.8,126.5,152.8,16.2,3.68,54.2,203,Very Unhealthy,-2.692594460459718
2024-08-12,London,22.7,302,88.6,71.7,52.9,2.71,141.4,137,Unhealthy,-1.424982784855374
2024-08-13,London,104.9,382.1,40.1,81.3,97.7,2.54,22.1,324,Hazardous,1.4563831650079941
2024-08-14,London,124.7,206.1,89.4,16.5,67.9,1.98,162.3,281,Very Unhealthy,-1.5348245295178022
2024-08-15,London,144.5,51.6,24.9,180,89,0.67,63.5,331,Hazardous,1.695970034544684
2024-08-16,London,177.6,118.8,75,109.1,74.8,3.38,161.2,275,Very Unhealthy,-6.610279406637897
2024-08-17,London,229.8,352.4,18.6,75.5,53,3.17,113.5,222,Very Unhealthy,1.7721800632565436
2024-08-18,London,158.4,343.8,49.2,164,89.2,1.13,87.4,191,Unhealthy,-7.162192391705095
2024-08-19,London,112.8,340.3,103.1,160.4,52.1,2.07,129.3,256,Very Unhealthy,-0.26050285609833024
2024-08-20,London,140.1,379.8,34.7,158.5,79.1,3.41,138.5,131,Unhealthy,-0.5124398061513511
2024-08-21,London,24,268,62.3,111.1,53.1,3.41,99.7,168,Unhealthy,-3.508654978780836
2024-08-22,London,72.6,205.5,121.4,30.8,13,2.15,12.8,252,Very Unhealthy,-3.518499738940837
2024-08-23,London,105.3,91.3,38.1,178.8,57,2.07,23,138,Unhealthy,-2.2507324739903884
2024-08-24,London,57.5,291,16.2,35.2,39.1,2.16,124.2,218,Very Unhealthy,-2.7250222651385023
2024-08-25,London,209.7,52.3,117.8,167.7,56.1,4.64,132.2,186,Unhealthy,-2.686903326809636
2024-08-26,London,46.7,195.3,102.2,115.1,63.8,3.92,87.6,341,Hazardous,-0.6355288640853818
2024-08-27,London,202.8,375.6,79.1,115.9,28.5,1.15,48,56,Moderate,-2.9007048406036127
2024-08-28,London,141.2,341.2,36,149.5,48.4,2.01,133.4,142,Unhealthy,-7.58100131559204
2024-08-29,London,169,292.2,32.2,83.8,14.7,1.6,13,255,Very Unhealthy,-2.710673318453408
2024-08-30,London,51.2,67,93.6,163.6,6.4,1.23,102.4,208,Very Unhealthy,-4.276882486034775
2024-08-31,London,161.9,246,10.6,171.9,14.2,4.88,23.8,361,Hazardous,-2.0312361285382208
2024-09-01,London,84.8,396.1,38.3,160.6,26.3,1.02,163.4,396,Hazardous,-5.549999136765888
2024-09-02,London,183.9,253.9,124.5,89.2,18.7,0.82,143.5,295,Very Unhealthy,-4.381713653873381
2024-09-03,London,105.7,123.8,48.6,41.6,85.3,3.87,83.5,85,Moderate,-7.034160350843395
2024-09-04,London,242.6,44.2,7.3,147.7,44.5,1.1,114.4,375,Hazardous,-7.0006256476815345
2024-09-05,London,242.2,47.5,144.4,28,58.5,0.54,140.6,269,Very Unhealthy,-7.5955225549275625
2024-09-06,London,184.4,351.9,17.7,20.8,60.6,4.35,46.6,223,Very Unhealthy,-4.127364903848199
2024-09-07,London,71.7,157.9,113.5,14.2,11.7,2.02,87.8,281,Very Unhealthy,-9.726134982234582
2024-09-08,London,63.2,379.3,126.2,133.9,78.2,2.71,10,59,Moderate,-1.7982219249010267
2024-09-09,London,152.3,232.2,7.3,141.7,60.6,3.07,136.5,164,Unhealthy,-5.670055858060506
2024-09-10,London,74.2,214.8,128.7,45.2,78.4,1.01,133.4,157,Unhealthy,-4.398271921480227
2024-09-11,London,137.5,380.2,84.8,161.3,46.5,0.88,28.5,134,Unhealthy,-2.0874127018840576
2024-09-12,London,198.5,61.7,54.3,160.3,65,4.4,131.5,150,Unhealthy,-3.9343718529370357
2024-09-13,London,50.3,331.2,52.2,130,76.2,2.76,133.7,75,Moderate,-3.7438006116349913
2024-09-14,London,107.1,163.4,97.7,191.5,71,2.72,82.6,342,Hazardous,-5.907925891309824
2024-09-15,London,123.2,231.5,23.5,37.5,98.3,3.87,69.2,77,Moderate,-7.26789461565593
2024-09-16,London,218.3,139.3,50.1,21.6,31.6,1.28,48.3,307,Hazardous,-3.438035462325958
2024-09-17,London,232.2,51.3,89.5,188.9,11.2,0.65,121.1,189,Unhealthy,-5.166117065632564
